query_id,user_id,query_type,candidate_count,positive_personalization_event_count,zero_personalization_event_count,personalization_event_weight_sum,full_graph_ppr_score_sum,event_only_ppr_score_sum,component_count
tokyo_26786_relational_after,26786,relational_after,256,256,0,1,1,0.762853479719823,1
tokyo_26786_semantic,26786,semantic,256,256,0,1,1,0.762932390378007,1
tokyo_26786_temporal_spatial,26786,temporal_spatial,256,256,0,1,1,0.7628429790775,1
tokyo_277915_relational_after,277915,relational_after,40,40,0,1,1,0.735830413443926,1
tokyo_277915_semantic,277915,semantic,40,40,0,1,1,0.735625705779458,1
tokyo_277915_temporal_spatial,277915,temporal_spatial,40,40,0,1,1,0.735733290354006,1
tokyo_280210_relational_after,280210,relational_after,63,63,0,1,1,0.742427888875334,1
tokyo_280210_semantic,280210,semantic,63,63,0,1,1,0.742437502406236,1
tokyo_280210_temporal_spatial,280210,temporal_spatial,63,63,0,1,1,0.742372189878369,1
tokyo_281448_relational_after,281448,relational_after,35,35,0,1,1,0.740890057774267,1
tokyo_281448_semantic,281448,semantic,35,35,0,1,1,0.740800765770503,1
tokyo_281448_temporal_spatial,281448,temporal_spatial,35,35,0,1,1,0.740856590328179,1
tokyo_283450_relational_after,283450,relational_after,74,74,0,1,1,0.736443314647561,2
tokyo_283450_semantic,283450,semantic,74,74,0,1,1,0.736286710749496,2
tokyo_283450_temporal_spatial,283450,temporal_spatial,74,74,0,1,1,0.736184709721736,2
tokyo_286142_relational_after,286142,relational_after,21,21,0,1,1,0.725046107587862,2
tokyo_286142_semantic,286142,semantic,21,21,0,1,1,0.72495848726548,2
tokyo_286142_temporal_spatial,286142,temporal_spatial,21,21,0,1,1,0.724981243243593,2
tokyo_286382_relational_after,286382,relational_after,23,23,0,1,1,0.723165592795539,2
tokyo_286382_semantic,286382,semantic,23,23,0,1,1,0.723375486230302,2
tokyo_286382_temporal_spatial,286382,temporal_spatial,23,23,0,1,1,0.723401763227807,2
tokyo_28664_relational_after,28664,relational_after,56,56,0,1,1,0.7410876766803,3
tokyo_28664_semantic,28664,semantic,56,56,0,1,1,0.740240578244612,3
tokyo_28664_temporal_spatial,28664,temporal_spatial,56,56,0,1,1,0.740269277691581,3
tokyo_28697_relational_after,28697,relational_after,37,37,0,1,1,0.743639402907252,1
tokyo_28697_semantic,28697,semantic,37,37,0,1,1,0.743860212111875,1
tokyo_28697_temporal_spatial,28697,temporal_spatial,37,37,0,1,1,0.743896787624132,1
tokyo_290806_relational_after,290806,relational_after,36,36,0,1,1,0.730922982873014,3
tokyo_290806_semantic,290806,semantic,36,36,0,1,1,0.731163921002678,3
tokyo_290806_temporal_spatial,290806,temporal_spatial,36,36,0,1,1,0.730996223701462,3
tokyo_29501_relational_after,29501,relational_after,36,36,0,1,1,0.730422042544376,2
tokyo_29501_semantic,29501,semantic,36,36,0,1,1,0.730071530052692,2
tokyo_29501_temporal_spatial,29501,temporal_spatial,36,36,0,1,1,0.730225096584972,2
tokyo_29757_relational_after,29757,relational_after,41,41,0,1,1,0.745112492868676,1
tokyo_29757_semantic,29757,semantic,41,41,0,1,1,0.745162906959732,1
tokyo_29757_temporal_spatial,29757,temporal_spatial,41,41,0,1,1,0.745162485502495,1
tokyo_29764_relational_after,29764,relational_after,28,28,0,1,1,0.745390793130091,1
tokyo_29764_semantic,29764,semantic,28,28,0,1,1,0.745442742744691,1
tokyo_29764_temporal_spatial,29764,temporal_spatial,28,28,0,1,1,0.745507370734272,1
tokyo_31204_relational_after,31204,relational_after,27,27,0,1,1,0.730701387069547,2
tokyo_31204_semantic,31204,semantic,27,27,0,1,1,0.730590682966206,2
tokyo_31204_temporal_spatial,31204,temporal_spatial,27,27,0,1,1,0.730413363067975,2
