query_id,user_id,component_id,component_event_count,component_personalization_mass,component_ppr_mass
tokyo_130872_relational_after,130872,1,34,1,1
tokyo_130872_semantic,130872,1,34,1,1
tokyo_130872_temporal_spatial,130872,1,34,1,1
tokyo_131525_relational_after,131525,1,36,1,1
tokyo_131525_semantic,131525,1,36,1,1
tokyo_131525_temporal_spatial,131525,1,36,1,1
tokyo_132723_relational_after,132723,1,48,1,1
tokyo_132723_semantic,132723,1,48,1,1
tokyo_132723_temporal_spatial,132723,1,48,1,1
tokyo_134307_relational_after,134307,1,11,0.403216050163079,0.403216050142345
tokyo_134307_relational_after,134307,2,5,0.176908024570258,0.176908024582895
tokyo_134307_relational_after,134307,3,10,0.349913099050058,0.349913099045704
tokyo_134307_relational_after,134307,4,2,0.0699628262166049,0.0699628262290571
tokyo_134307_semantic,134307,1,11,0.388008900379508,0.388008900372937
tokyo_134307_semantic,134307,2,5,0.178702121422689,0.178702121433655
tokyo_134307_semantic,134307,3,10,0.361003256413003,0.361003256398321
tokyo_134307_semantic,134307,4,2,0.0722857217847993,0.0722857217950882
tokyo_134307_temporal_spatial,134307,1,11,0.389089906936274,0.389089906928695
tokyo_134307_temporal_spatial,134307,2,5,0.177415690831199,0.177415690843363
tokyo_134307_temporal_spatial,134307,3,10,0.361296921976436,0.36129692196148
tokyo_134307_temporal_spatial,134307,4,2,0.0721974802560904,0.0721974802664614
tokyo_135393_relational_after,135393,1,46,1,1
tokyo_135393_semantic,135393,1,46,1,1
tokyo_135393_temporal_spatial,135393,1,46,1,1
tokyo_138301_relational_after,138301,1,37,0.949526291435979,0.949526291408052
tokyo_138301_relational_after,138301,2,2,0.0504737085640211,0.0504737085919478
tokyo_138301_semantic,138301,1,37,0.946256183119014,0.946256183094133
tokyo_138301_semantic,138301,2,2,0.0537438168809863,0.0537438169058675
tokyo_138301_temporal_spatial,138301,1,37,0.949193646315147,0.949193646287531
tokyo_138301_temporal_spatial,138301,2,2,0.0508063536848526,0.0508063537124695
tokyo_139656_relational_after,139656,1,55,1,1
tokyo_139656_semantic,139656,1,55,1,1
tokyo_139656_temporal_spatial,139656,1,55,1,1
tokyo_140734_relational_after,140734,1,20,0.836661017807388,0.836661017787578
tokyo_140734_relational_after,140734,2,2,0.0815384007738548,0.0815384007838213
tokyo_140734_relational_after,140734,3,2,0.0818005814187568,0.0818005814286011
tokyo_140734_semantic,140734,1,20,0.826606219449268,0.82660621943414
tokyo_140734_semantic,140734,2,2,0.0869037295410032,0.0869037295484712
tokyo_140734_semantic,140734,3,2,0.0864900510097283,0.086490051017389
tokyo_140734_temporal_spatial,140734,1,20,0.841496990380331,0.841496990358268
tokyo_140734_temporal_spatial,140734,2,2,0.078447494658494,0.0784474946698998
tokyo_140734_temporal_spatial,140734,3,2,0.0800555149611748,0.0800555149718317
